id,url,title,price,price_numeric,location,size,room_type,floor,lift,details,last_updated
34023840,https://www.idealista.pt/en/imovel/34023840/,"T1 flat in rua Passos Manuel, Nn, Estefânia, São Jorge de Arroios, Arroios","275,000€295,000 €7%",275000,"rua Passos Manuel, Nn, Estefânia, São Jorge de Arroios, Arroios",150,T1,6,Yes,T150 m²6th floor with lift,2025-03-16 10:03:43
33979881,https://www.idealista.pt/en/imovel/33979881/,"T2 flat in rua Dom João de Castro, Alto de Alcântara, Alcântara","299,000€",299000,"rua Dom João de Castro, Alto de Alcântara, Alcântara",275,T2,Ground floor,No,T275 m²Ground floor without lift,2025-03-16 10:03:43
34026765,https://www.idealista.pt/en/imovel/34026765/,"T1 flat in avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França","290,000€",290000,"avenida Afonso III, Alto de São João - Alto do Varejão, Penha de França",173,T1,Ground floor,No,T173 m²Ground floor without lift,2025-03-16 10:03:43
33928673,https://www.idealista.pt/en/imovel/33928673/,"T1 flat in Estefânia, São Jorge de Arroios, Arroios","267,000€",267000,"Estefânia, São Jorge de Arroios, Arroios",163,T1,Basement,Yes,T163 m²Basement with lift,2025-03-16 10:03:43
33980177,https://www.idealista.pt/en/imovel/33980177/,"Semi-detached house in rua Particular à Rua Arco do Carvalhão, Nn, Bairro Calçada dos Mestres, Campolide","260,000€",260000,"rua Particular à Rua Arco do Carvalhão, Nn, Bairro Calçada dos Mestres, Campolide",2127,T2,,,T2127 m²,2025-03-16 10:03:43
34017222,https://www.idealista.pt/en/imovel/34017222/,"T1 flat in rua Santa Bárbara, Anjos, Arroios","250,000€",250000,"rua Santa Bárbara, Anjos, Arroios",145,T1,2,No,T145 m²2nd floor without lift,2025-03-16 10:03:43
34012969,https://www.idealista.pt/en/imovel/34012969/,"T1 flat in Olivais, Lisboa","218,000€",218000,"Olivais, Lisboa",148,T1,6,Yes,T148 m²6th floor with lift,2025-03-16 10:03:43
33986347,https://www.idealista.pt/en/imovel/33986347/,"T2 flat in rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica","280,000€",280000,"rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica",260,T2,3,No,T260 m²3rd floor without lift,2025-03-16 10:03:43
34025702,https://www.idealista.pt/en/imovel/34025702/,"T2 flat in beco do Forno do Sol, Graça, São Vicente","240,000€",240000,"beco do Forno do Sol, Graça, São Vicente",244,T2,1,No,T244 m²1st floor without lift,2025-03-16 10:03:43
33440538,https://www.idealista.pt/en/imovel/33440538/,"Duplex in Santa Engrácia, São Vicente","285,000€295,000 €3%",285000,"Santa Engrácia, São Vicente",150,T1,3,No,T150 m²3rd floor without lift,2025-03-16 10:03:43
33993523,https://www.idealista.pt/en/imovel/33993523/,"T1 flat in rua Comandante Nunes da Silva, 1, Centro, Ajuda","272,000€",272000,"rua Comandante Nunes da Silva, 1, Centro, Ajuda",142,T1,Ground floor,No,T142 m²Ground floor without lift,2025-03-16 10:03:43
33992484,https://www.idealista.pt/en/imovel/33992484/,"T2 flat in Olivais, Lisboa","265,000€",265000,"Olivais, Lisboa",262,T2,5,No,T262 m²5th floor without lift,2025-03-16 10:03:43
34057561,https://www.idealista.pt/en/imovel/34057561/,"T1 flat in rua Amadeu de Sousa Cardoso, Alto de Santo Amaro, Alcântara","280,000€",280000,"rua Amadeu de Sousa Cardoso, Alto de Santo Amaro, Alcântara",154,T1,Ground floor,No,T154 m²Ground floor without lift,2025-03-16 10:03:43
32486708,https://www.idealista.pt/en/imovel/32486708/,"T2 flat in rua Alviela, Santa Engrácia, São Vicente","198,000€227,590 €13%",198000,"rua Alviela, Santa Engrácia, São Vicente",295,T2,Ground floor,No,T295 m²Ground floor without lift,2025-03-16 10:03:43
33524878,https://www.idealista.pt/en/imovel/33524878/,"T2 flat in praça Faria da Costa, Olivais, Lisboa","250,000€",250000,"praça Faria da Costa, Olivais, Lisboa",262,T2,,No,T262 m²without lift,2025-03-16 10:03:43
33985445,https://www.idealista.pt/en/imovel/33985445/,"T1 flat in travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda","237,500€",237500,"travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:03:43
33984524,https://www.idealista.pt/en/imovel/33984524/,"T1 flat in rua de Ponta Delgada, Estefânia, São Jorge de Arroios, Arroios","215,000€",215000,"rua de Ponta Delgada, Estefânia, São Jorge de Arroios, Arroios",1100,T1,Ground floor,No,T1100 m²Ground floor without lift,2025-03-16 10:03:43
34036434,https://www.idealista.pt/en/imovel/34036434/,"T2 flat in rua Maria Pia, 478, Centro, Campo de Ourique","239,000€",239000,"rua Maria Pia, 478, Centro, Campo de Ourique",245,T2,Ground floor,No,T245 m²Ground floor without lift,2025-03-16 10:03:43
33799532,https://www.idealista.pt/en/imovel/33799532/,"T1 flat in travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António","235,560€",235560,"travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António",145,T1,3,No,T145 m²3rd floor without lift,2025-03-16 10:03:43
34032579,https://www.idealista.pt/en/imovel/34032579/,"T1 flat in rua do Figueiredo, Centro, Belém","280,000€",280000,"rua do Figueiredo, Centro, Belém",140,T1,Ground floor,No,T140 m²Ground floor without lift,2025-03-16 10:03:43
34020888,https://www.idealista.pt/en/imovel/34020888/,"T1 flat in Centro, Campolide","285,500€",285500,"Centro, Campolide",150,T1,Ground floor,No,T150 m²Ground floor without lift,2025-03-16 10:03:43
33983484,https://www.idealista.pt/en/imovel/33983484/,"T1 flat in rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas","290,000€315,000 €8%",290000,"rua Alfredo Roque Gameiro, 1, Entrecampos, Avenidas Novas",152,T1,3,No,T152 m²3rd floor without lift,2025-03-16 10:03:43
33934029,https://www.idealista.pt/en/imovel/33934029/,"T2 flat in rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior","225,000€",225000,"rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior",242,T2,5,No,T242 m²5th floor without lift,2025-03-16 10:03:43
33979648,https://www.idealista.pt/en/imovel/33979648/,"T1 flat in rua de Santa Marinha, 58, Graça, São Vicente","199,000€",199000,"rua de Santa Marinha, 58, Graça, São Vicente",150,T1,Ground floor,No,T150 m²Ground floor without lift,2025-03-16 10:03:43
34062281,https://www.idealista.pt/en/imovel/34062281/,"T1 flat in rua Passos Manuel, Estefânia, São Jorge de Arroios, Arroios","275,000€",275000,"rua Passos Manuel, Estefânia, São Jorge de Arroios, Arroios",150,T1,6,Yes,T150 m²6th floor with lift,2025-03-16 10:03:43
34041352,https://www.idealista.pt/en/imovel/34041352/,"T1 flat in rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda","295,000€",295000,"rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda",148,T1,2,No,T148 m²2nd floor without lift,2025-03-16 10:03:43
33957087,https://www.idealista.pt/en/imovel/33957087/,"T1 flat in rua Comandante Nunes da Silva, 1, Centro, Ajuda","272,000€",272000,"rua Comandante Nunes da Silva, 1, Centro, Ajuda",142,T1,Ground floor,No,T142 m²Ground floor without lift,2025-03-16 10:03:43
34005065,https://www.idealista.pt/en/imovel/34005065/,"T2 flat in travessa do Oleiro, Nn, Santa Catarina, Misericórdia","288,000€",288000,"travessa do Oleiro, Nn, Santa Catarina, Misericórdia",257,T2,2,No,T257 m²2nd floor without lift,2025-03-16 10:03:43
34037932,https://www.idealista.pt/en/imovel/34037932/,"T2 flat in rua Maria Pia, Nn, Prazeres - Maria Pia, Campo de Ourique","239,000€",239000,"rua Maria Pia, Nn, Prazeres - Maria Pia, Campo de Ourique",245,T2,,,T245 m²,2025-03-16 10:03:43
34020973,https://www.idealista.pt/en/imovel/34020973/,"T1 flat in rua Carlos Ribeiro, Centro, Penha de França","210,000€",210000,"rua Carlos Ribeiro, Centro, Penha de França",140,T1,Basement,No,T140 m²Semi-basement without lift,2025-03-16 10:03:43
34014664,https://www.idealista.pt/en/imovel/34014664/,"T2 flat in travessa do Oleiro, Santa Catarina, Misericórdia","288,000€",288000,"travessa do Oleiro, Santa Catarina, Misericórdia",260,T2,2,No,T260 m²2nd floor without lift,2025-03-16 10:12:31
34005974,https://www.idealista.pt/en/imovel/34005974/,"T1 flat in rua Paio Peres Correia, Alto de São João - Alto do Varejão, Penha de França","299,500€",299500,"rua Paio Peres Correia, Alto de São João - Alto do Varejão, Penha de França",179,T1,Ground floor,No,T179 m²Ground floor without lift,2025-03-16 10:12:31
33985662,https://www.idealista.pt/en/imovel/33985662/,"T2 flat, Calçada dos Mestres, 94, Centro, Campolide","210,000€",210000,,258,T2,Basement,No,T258 m²Semi-basement without lift,2025-03-16 10:12:31
34024577,https://www.idealista.pt/en/imovel/34024577/,"T2 flat in rua Cláudio Nunes, 85, Arneiros, Benfica","299,900€",299900,"rua Cláudio Nunes, 85, Arneiros, Benfica",267,T2,,No,T267 m²without lift,2025-03-16 10:12:31
33928601,https://www.idealista.pt/en/imovel/33928601/,"T1 flat in rua Francisco Sanches, 182, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","275,000€",275000,"rua Francisco Sanches, 182, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",146,T1,,Yes,T146 m²with lift,2025-03-16 10:12:31
33995907,https://www.idealista.pt/en/imovel/33995907/,"T2 flat in estrada de Chelas, 6, Santa Apolónia - Cruz da Pedra, Penha de França","275,000€289,000 €5%",275000,"estrada de Chelas, 6, Santa Apolónia - Cruz da Pedra, Penha de França",257,T2,1,No,T257 m²1st floor without lift,2025-03-16 10:12:31
34057779,https://www.idealista.pt/en/imovel/34057779/,"T1 flat in Graça, São Vicente","250,000€",250000,"Graça, São Vicente",152,T1,2,No,T152 m²2nd floor without lift,2025-03-16 10:12:31
34058868,https://www.idealista.pt/en/imovel/34058868/,"T2 flat, Escadinhas das Portas do Mar, 5, Alfama, Santa Maria Maior","299,000€",299000,,272,T2,4,No,T272 m²4th floor without lift,2025-03-16 10:12:31
34055036,https://www.idealista.pt/en/imovel/34055036/,"T2 flat in avenida Doutor Augusto de Castro, Marvila, Lisboa","248,000€",248000,"avenida Doutor Augusto de Castro, Marvila, Lisboa",258,T2,4,Yes,T258 m²4th floor with lift,2025-03-16 10:12:31
34062579,https://www.idealista.pt/en/imovel/34062579/,"T1 flat in avenida Almirante Reis, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios","292,000€",292000,"avenida Almirante Reis, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",148,T1,3,Yes,T148 m²3rd floor with lift,2025-03-16 10:12:31
