Property URL,Price (€),Size (sqm),Monthly Rent (€),Annual Rent (€),Total Recurring Expenses (€),Expenses % of Rent,Total One-Time Expenses (€),One-Time Expenses % of Price,Property Management (€),Maintenance (€),Vacancy (€),Insurance (€),Utilities (€),Closing Costs (€),Total Taxes (€),IMT (€),Stamp Duty (€),NOI (€),Cap Rate (%),Cash on Cash Return (%),Monthly Cash Flow (€),Price per sqm (€),Neighborhood,Neighborhood Avg Price/sqm (€),Diff from Neighborhood Avg (€),Diff from Neighborhood Avg (%),Price/Neighborhood Ratio,Price Classification,Gross Yield (%)
https://www.idealista.pt/en/imovel/34023840/,275000.0,50.0,1884.7967032967033,22617.56043956044,7817.2,59.44,23239.69,8.45,1315.2,2750.0,2192.0,360,1200,11000.0,12239.69,10039.69,2200.0,14800.360439560438,5.38194925074925,1.79,148.56666666666672,5500.0,Arroios,,,,,Unknown,8.224567432567433
https://www.idealista.pt/en/imovel/33979881/,299000.0,75.0,2106.205882352941,25274.470588235294,9350.0,51.94,26071.69,8.72,1800.0,2990.0,3000.0,360,1200,11960.0,14111.69,11719.69,2392.0,15924.470588235294,5.3259098957308675,2.66,20.83333333333337,3986.6666666666665,Alcântara,5268.17,-1281.5,-24.3%,0.76,Below Average,8.453000196734212
https://www.idealista.pt/en/imovel/34026765/,290000.0,73.0,1917.828402366864,23013.94082840237,4460.0,,25009.69,8.62,,2900.0,,360,1200,11600.0,13409.69,11089.69,2320.0,18553.94082840237,6.397910630483576,,428.3333333333333,3972.6027397260273,Penha de França,4127.96,-155.36,-3.8%,0.96,Average,7.935841664966335
https://www.idealista.pt/en/imovel/33928673/,267000.0,63.0,1951.5625,23418.75,8444.4,53.43,22295.69,8.35,1580.4,2670.0,2634.0,360,1200,10680.0,11615.69,9479.69,2136.0,14974.35,5.608370786516854,2.54,96.30000000000008,4238.0952380952385,Arroios,4624.5,-386.4,-8.4%,0.92,Average,8.771067415730336
https://www.idealista.pt/en/imovel/33980177/,260000.0,127.0,800.0,9600.0,4160.0,,21469.69,8.26,,2600.0,,360,1200,10400.0,11069.69,8989.69,2080.0,5440.0,2.0923076923076924,,453.3333333333333,2047.244094488189,Campolide,4134.93,-2087.69,-50.5%,0.5,Below Average,3.6923076923076925
https://www.idealista.pt/en/imovel/34017222/,250000.0,45.0,1837.192546583851,22046.31055900621,10037.6,44.78,20289.69,8.12,2241.6,2500.0,3736.0,360,1200,10000.0,10289.69,8289.69,2000.0,12008.710559006211,4.803484223602485,4.58,-36.4666666666667,5555.555555555556,Anjos,4624.5,931.06,20.1%,1.2,Above Average,8.818524223602484
https://www.idealista.pt/en/imovel/34012969/,218000.0,48.0,1793.5,21522.0,8860.0,46.15,16513.69,7.58,1920.0,2180.0,3200.0,360,1200,8720.0,7793.69,6049.69,1744.0,12662.0,5.8082568807339445,4.41,61.66666666666663,4541.666666666667,Olivais,4426.5,115.17,2.6%,1.03,Average,9.872477064220183
https://www.idealista.pt/en/imovel/33986347/,280000.0,60.0,2097.4375,25169.25,8440.0,55.16,23829.69,8.51,1530.0,2800.0,2550.0,360,1200,11200.0,12629.69,10389.69,2240.0,16729.25,5.9747321428571425,2.26,96.66666666666664,4666.666666666667,Benfica,4549.93,116.74,2.6%,1.03,Average,8.989017857142857
https://www.idealista.pt/en/imovel/34025702/,240000.0,44.0,2030.060975609756,24360.73170731707,3960.0,,19109.69,7.96,,2400.0,,360,1200,9600.0,9509.69,7589.69,1920.0,20400.73170731707,8.50030487804878,,470.0,5454.545454545455,Graça,4631.2,823.35,17.8%,1.18,Above Average,10.15030487804878
https://www.idealista.pt/en/imovel/33440538/,285000.0,50.0,1861.4925373134329,22337.910447761195,8304.4,56.86,24419.69,8.57,1460.4,2850.0,2434.0,360,1200,11400.0,13019.69,10739.69,2280.0,14033.510447761195,4.92403875360042,2.04,107.9666666666667,5700.0,São Vicente,,,,,Unknown,7.837863315003927
https://www.idealista.pt/en/imovel/33993523/,272000.0,42.0,1744.9876543209878,20939.851851851854,8920.0,51.26,22885.69,8.41,1740.0,2720.0,2900.0,360,1200,10880.0,12005.69,9829.69,2176.0,12019.851851851854,4.419063180827887,2.88,56.66666666666663,6476.190476190476,Ajuda,4587.06,1889.13,41.2%,1.41,Above Average,7.69847494553377
https://www.idealista.pt/en/imovel/33992484/,265000.0,62.0,1649.5,19794.0,7890.0,57.17,22059.69,8.32,1380.0,2650.0,2300.0,360,1200,10600.0,11459.69,9339.69,2120.0,11904.0,4.492075471698113,2.06,142.5,4274.193548387097,Olivais,4426.5,-152.31,-3.4%,0.97,Average,7.469433962264151
https://www.idealista.pt/en/imovel/34057561/,280000.0,54.0,1906.0754716981132,22872.905660377357,4360.0,,23829.69,8.51,,2800.0,,360,1200,11200.0,12629.69,10389.69,2240.0,18512.905660377357,6.611752021563341,,436.6666666666667,5185.185185185185,Alcântara,5268.17,-82.98,-1.6%,0.98,Average,8.168894878706197
https://www.idealista.pt/en/imovel/32486708/,198000.0,95.0,2167.2619047619046,26007.142857142855,11540.0,38.47,14153.69,7.15,3000.0,1980.0,5000.0,360,1200,7920.0,6233.69,4649.69,1584.0,14467.142857142855,7.306637806637806,8.7,-161.66666666666663,2084.2105263157896,São Vicente,,,,,Unknown,13.134920634920633
https://www.idealista.pt/en/imovel/33524878/,250000.0,62.0,2040.2758620689656,24483.310344827587,8220.0,52.69,20289.69,8.12,1560.0,2500.0,2600.0,360,1200,10000.0,10289.69,8289.69,2000.0,16263.310344827587,6.5053241379310345,2.73,115.0,4032.2580645161293,Olivais,4426.5,-394.24,-8.9%,0.91,Average,9.793324137931036
https://www.idealista.pt/en/imovel/33985445/,237500.0,40.0,1830.744,21968.928,7135.0,59.46,18814.69,7.92,1200.0,2375.0,2000.0,360,1200,9500.0,9314.69,7414.69,1900.0,14833.928,6.245864421052631,1.9,205.41666666666663,5937.5,Belém,4587.06,1350.44,29.4%,1.29,Above Average,9.250074947368422
https://www.idealista.pt/en/imovel/33984524/,215000.0,100.0,800.0,9600.0,12350.0,38.12,16159.69,7.52,3240.0,2150.0,5400.0,360,1200,8600.0,7559.69,5839.69,1720.0,-2750.0,-1.2790697674418605,8.67,-229.1666666666667,2150.0,Arroios,4624.5,-2474.5,-53.5%,0.46,Below Average,4.465116279069767
https://www.idealista.pt/en/imovel/34036434/,239000.0,45.0,1951.0843373493976,23413.012048192773,7630.0,55.29,18991.69,7.95,1380.0,2390.0,2300.0,360,1200,9560.0,9431.69,7519.69,1912.0,15783.012048192773,6.603770731461411,2.39,164.16666666666663,5311.111111111111,Campo de Ourique,4287.47,1023.64,23.9%,1.24,Above Average,9.796239350708273
https://www.idealista.pt/en/imovel/33799532/,235560.0,45.0,1814.9593023255811,21779.511627906973,10635.6,42.2,18585.77,7.89,2520.0,2355.6,4200.0,360,1200,9422.4,9163.37,7278.89,1884.48,11143.911627906973,4.730816619080902,5.73,-86.30000000000007,5234.666666666667,Santo António,6046.88,-812.21,-13.4%,0.87,Below Average,9.245844637420179
https://www.idealista.pt/en/imovel/34032579/,280000.0,40.0,1678.157894736842,20137.894736842107,8616.0,53.98,23829.69,8.51,1596.0,2800.0,2660.0,360,1200,11200.0,12629.69,10389.69,2240.0,11521.894736842107,4.114962406015038,2.42,82.0,7000.0,Belém,5825.4,1174.6,20.2%,1.2,Above Average,7.192105263157895
https://www.idealista.pt/en/imovel/34020888/,285500.0,50.0,1802.377049180328,21628.524590163935,8895.0,52.95,24478.69,8.57,1680.0,2855.0,2800.0,360,1200,11420.0,13058.69,10774.69,2284.0,12733.524590163935,4.460078665556544,2.55,58.75,5710.0,Campolide,4134.93,1575.07,38.1%,1.38,Above Average,7.575665355574059
https://www.idealista.pt/en/imovel/33983484/,290000.0,52.0,1828.3494623655913,21940.193548387095,7820.0,62.06,25009.69,8.62,1260.0,2900.0,2100.0,360,1200,11600.0,13409.69,11089.69,2320.0,14120.193548387095,4.869032258064515,1.52,148.33333333333337,5576.923076923077,Avenidas Novas,,,,,Unknown,7.565583982202447
https://www.idealista.pt/en/imovel/33934029/,225000.0,42.0,2000.4026845637584,24004.8322147651,26424.4,31.16,17339.690000000002,7.71,8480.4,2250.0,14134.0,360,1200,9000.0,8339.69,6539.69,1800.0,-2419.5677852349,-1.0753634601044,24.09,-1402.0333333333333,5357.142857142857,Mouraria,4662.78,694.36,14.9%,1.15,Above Average,10.668814317673379
https://www.idealista.pt/en/imovel/33979648/,199000.0,50.0,1910.0208333333333,22920.25,7630.0,49.87,14271.69,7.17,1530.0,1990.0,2550.0,360,1200,7960.0,6311.69,4719.69,1592.0,15290.25,7.68354271356784,3.6,164.16666666666663,3980.0,Graça,4631.2,-651.2,-14.1%,0.86,Below Average,11.517713567839195
