size,num_rooms,rent_price,location,url
T146 m²,T1,900€/month,"rua Estácio da Veiga, Centro, Penha de França",https://www.idealista.pt/en/imovel/34066961/
T280 m²,T2,"1,250€/month",,https://www.idealista.pt/en/imovel/28137965/
T146 m²,T1,"1,400€/month","avenida General Roçadas, Centro, Penha de França",https://www.idealista.pt/en/imovel/34066573/
T265 m²,T2,"1,500€/month","rua Domingos Sequeira, 5, Lapa, Estrela",https://www.idealista.pt/en/imovel/34047805/
T145 m²,T1,980€/monthParking included,"rua José Estêvão, Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34066509/
T270 m²,T2,"1,650€/month","rua Ramalho Ortigão, 39, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/34046518/
T272 m²,T2,"1,250€/month","estrada de Benfica, Fonte Nova - Calhariz, Benfica",https://www.idealista.pt/en/imovel/34066472/
T148 m²,T1,"1,300€/month","beco da Cardosa, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34057031/
T154 m²,T1,"1,500€/month",,https://www.idealista.pt/en/imovel/34066489/
T270 m²,T2,"1,250€/month","rua Afonso Annes Penedo, 42, Marvila, Lisboa",https://www.idealista.pt/en/imovel/33956298/
T2110 m²,T2,"2,200€/month","rua Antero de Quental, 6, Anjos, Arroios",https://www.idealista.pt/en/imovel/31418564/
T154 m²,T1,"1,300€/month","beco da Lapa, 140, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34065961/
T153 m²,T1,"1,400€/month","rua conde Monsaraz, 15, Centro, Penha de França",https://www.idealista.pt/en/imovel/32580094/
T2120 m²,T2,"2,750€/month","Lapa, Estrela",https://www.idealista.pt/en/imovel/34066431/
T182 m²,T1,"1,450€/month","rua da Rosa, 214, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/33838923/
T145 m²,T1,890€/month,"Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/34066022/
T157 m²,T1,"1,300€/month","rua do Conde de Redondo, 4, Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/30534686/
T278 m²,T2,"1,200€/month","Campo Grande, Alvalade",https://www.idealista.pt/en/imovel/34065907/
T175 m²,T1,"2,200€/month","rua do Crucifixo, 75, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/33498256/
T160 m²,T1,"1,900€/month","rua do Crucifixo, 75, Baixa, Santa Maria Maior",https://www.idealista.pt/en/imovel/33498335/
T260 m²,T2,828€/month,"rua do Vale Formoso, Marvila, Lisboa",https://www.idealista.pt/en/imovel/34065486/
T280 m²,T2,"1,450€/month","praça Olegário Mariano, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34065501/
T173 m²,T1,"1,800€/month","rua Academia das Ciências, 17 a, Príncipe Real - São Bento, Misericórdia",https://www.idealista.pt/en/imovel/34065339/
T160 m²,T1,"1,450€/monthParking included","rua José Travassos, 23, Centro, Lumiar",https://www.idealista.pt/en/imovel/34065276/
T140 m²,T1,"1,300€/month","rua Rebelo da Silva, 45, Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/33484084/
T157 m²,T1,"2,100€/monthParking included","rua Rodrigo da Fonseca, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/34065310/
T264 m²,T2,"2,300€/month","travessa Amoreira, Lapa, Estrela",https://www.idealista.pt/en/imovel/34065059/
