size,num_rooms,rent_price,location,url
46 m²,T1,900€/month,"rua Estácio da Veiga, Centro, Penha de França",https://www.idealista.pt/en/imovel/34066961/
80 m²,T2,1250€/month,,https://www.idealista.pt/en/imovel/28137965/
46 m²,T1,1400€/month,"avenida General Roçadas, Centro, Penha de França",https://www.idealista.pt/en/imovel/34066573/
65 m²,T2,1500€/month,"rua Domingos Sequeira, 5, Lapa, Estrela",https://www.idealista.pt/en/imovel/34047805/
45 m²,T1,980€/month,"rua José Estêvão, Estefânia, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34066509/
70 m²,T2,1650€/month,"rua Ramalho Ortigão, 39, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/34046518/
72 m²,T2,1250€/month,"estrada de Benfica, Fonte Nova - Calhariz, Benfica",https://www.idealista.pt/en/imovel/34066472/
48 m²,T1,1300€/month,"beco da Cardosa, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34057031/
54 m²,T1,1500€/month,,https://www.idealista.pt/en/imovel/34066489/
70 m²,T2,1250€/month,"rua Afonso Annes Penedo, 42, Marvila, Lisboa",https://www.idealista.pt/en/imovel/33956298/
110 m²,T2,2200€/month,"rua Antero de Quental, 6, Anjos, Arroios",https://www.idealista.pt/en/imovel/31418564/
54 m²,T1,1300€/month,"beco da Lapa, 140, Alfama, Santa Maria Maior",https://www.idealista.pt/en/imovel/34065961/
53 m²,T1,1400€/month,"rua conde Monsaraz, 15, Centro, Penha de França",https://www.idealista.pt/en/imovel/32580094/
120 m²,T2,2750€/month,"Lapa, Estrela",https://www.idealista.pt/en/imovel/34066431/
82 m²,T1,1450€/month,"rua da Rosa, 214, Bairro Alto, Misericórdia",https://www.idealista.pt/en/imovel/33838923/
45 m²,T1,890€/month,"Largo do Calvário - Lx Factory, Alcântara",https://www.idealista.pt/en/imovel/34066022/
