size,num_rooms,rent_price,location,url
270 m²,T2,"1,300€/month","rua da Venezuela, 37, Bairro de Santa Cruz, Benfica",https://www.idealista.pt/en/imovel/34091330/
290 m²,T2,"2,100€/month","avenida Duque de Loulé, Nn, Av. da Liberdade - Marquês de Pombal, Santo António",https://www.idealista.pt/en/imovel/34089711/
285 m²,T2,"1,150€/month","rua Eng Quartim Graça, Santa Clara, Lisboa",https://www.idealista.pt/en/imovel/28885618/
155 m²,T1,"1,600€/month","avenida Duque de Loulé, Nn, Av. da Liberdade - Marquês de Pombal, Santo António",https://www.idealista.pt/en/imovel/34089607/
149 m²,T1,"1,150€/month",,https://www.idealista.pt/en/imovel/34091264/
150 m²,T1,"1,960€/monthGarageoptional100 €/month","avenida António Augusto de Aguiar, Bairro Azul - Parque Eduardo VII, Avenidas Novas",https://www.idealista.pt/en/imovel/33863895/
143 m²,T1,"1,100€/month","rua Carvalho Araújo, Alameda - Praça do Chile - Almirante Reis, São Jorge de Arroios, Arroios",https://www.idealista.pt/en/imovel/34091261/
170 m²,T1,"1,100€/month","rua Pinto Ferreira, 59, Centro, Belém",https://www.idealista.pt/en/imovel/33375545/
142 m²,T1,"1,093€/month","rua do Cruzeiro, Alto de Alcântara, Alcântara",https://www.idealista.pt/en/imovel/34091253/
143 m²,T1,"1,050€/month","rua do Telhal, Campo de Santana - Santa Marta, Santo António",https://www.idealista.pt/en/imovel/34091242/
140 m²,T1,"1,050€/month","largo Severa, Mouraria - Castelo, Santa Maria Maior",https://www.idealista.pt/en/imovel/34091227/
142 m²,T1,"1,000€/month","rua Dom Domingos Jardo, Alto de São João - Alto do Varejão, Penha de França",https://www.idealista.pt/en/imovel/34091236/
143 m²,T1,"1,000€/month","rua Alexandre O'Neill, Junqueira, Alcântara",https://www.idealista.pt/en/imovel/34091226/
143 m²,T1,"1,000€/month",,https://www.idealista.pt/en/imovel/34091123/
144 m²,T1,800€/month,"rua da Verónica, São Vicente de Fora, São Vicente",https://www.idealista.pt/en/imovel/34091206/
