property_url,property_title,property_location,property_size,property_room_type,property_price,estimated_monthly_rent,comparable_count
https://www.idealista.pt/en/imovel/33979881/,"T2 flat in rua Dom João de Castro, Alto de Alcântara, Alcântara","rua Dom João de Castro, Alto de Alcântara, Alcântara",75.0,T2,"299,000€",1691.6666666666667,6
https://www.idealista.pt/en/imovel/34017222/,"T1 flat in rua Santa Bárbara, Anjos, Arroios","rua Santa Bárbara, Anjos, Arroios",45.0,T1,"250,000€",3128.0,1
https://www.idealista.pt/en/imovel/33986347/,"T2 flat in rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica","rua Emília das Neves, Portas de Benfica - Mercado de Benfica, Benfica",60.0,T2,"280,000€",1506.076923076923,13
https://www.idealista.pt/en/imovel/34025702/,"T2 flat in beco do Forno do Sol, Graça, São Vicente","beco do Forno do Sol, Graça, São Vicente",44.0,T2,"240,000€",2191.75,4
https://www.idealista.pt/en/imovel/33985445/,"T1 flat in travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda","travessa Paulo Martins, Calçada da Ajuda - Belém, Ajuda",40.0,T1,"237,500€",1336.5,2
https://www.idealista.pt/en/imovel/34036434/,"T2 flat in rua Maria Pia, 478, Centro, Campo de Ourique","rua Maria Pia, 478, Centro, Campo de Ourique",45.0,T2,"239,000€",1854.875,8
https://www.idealista.pt/en/imovel/33799532/,"T1 flat in travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António","travessa Parreiras, 74, Campo de Santana - Santa Marta, Santo António",45.0,T1,"235,560€",2200.0,1
https://www.idealista.pt/en/imovel/34032579/,"T1 flat in rua do Figueiredo, Centro, Belém","rua do Figueiredo, Centro, Belém",40.0,T1,"280,000€",1295.0,1
https://www.idealista.pt/en/imovel/34020888/,"T1 flat in Centro, Campolide","Centro, Campolide",50.0,T1,"285,500€",1500.0,1
https://www.idealista.pt/en/imovel/33934029/,"T2 flat in rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior","rua São Cristóvão, Mouraria - Castelo, Santa Maria Maior",42.0,T2,"225,000€",1750.0,1
https://www.idealista.pt/en/imovel/34041352/,"T1 flat in rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda","rua Paz à Ajuda, Calçada da Ajuda - Belém, Ajuda",48.0,T1,"295,000€",1500.0,1
